Channel              :,CH1,CH2
Frequency            :,2.556KHz,2.556KHz
Period               :,0.391ms,0.391ms
PK-PK                :,9.760V,4.320V
Average              :,-100.3mV,-54.42mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
536,-5040.000000,-360.000000
537,-4960.000000,-240.000000
538,-4880.000000,-80.000000
539,-4720.000000,40.000000
540,-4560.000000,160.000000
541,-4320.000000,280.000000
542,-4080.000000,400.000000
543,-3840.000000,520.000000
544,-3600.000000,640.000000
545,-3280.000000,760.000000
546,-3040.000000,880.000000
547,-2720.000000,1000.000000
548,-2400.000000,1120.000000
549,-2080.000000,1240.000000
550,-1760.000000,1320.000000
551,-1440.000000,1400.000000
552,-1120.000000,1520.000000
553,-800.000000,1600.000000
554,-480.000000,1680.000000
555,-80.000000,1720.000000
556,240.000000,1800.000000
557,560.000000,1880.000000
558,880.000000,1920.000000
559,1200.000000,1960.000000
560,1600.000000,2000.000000
561,1840.000000,2000.000000
562,2240.000000,2040.000000
563,2480.000000,2040.000000
564,2800.000000,2040.000000
565,3120.000000,2040.000000
566,3360.000000,2000.000000
567,3680.000000,2000.000000
568,3920.000000,2000.000000
569,4080.000000,1920.000000
570,4320.000000,1880.000000
571,4560.000000,1840.000000
572,4640.000000,1760.000000
573,4640.000000,1680.000000
574,4640.000000,1600.000000
575,4640.000000,1520.000000
576,4640.000000,1400.000000
577,4560.000000,1280.000000
578,4560.000000,1160.000000
579,4560.000000,1040.000000
580,4560.000000,920.000000
581,4480.000000,800.000000
582,4480.000000,640.000000
583,4480.000000,520.000000
584,4400.000000,400.000000
585,4400.000000,240.000000
586,4320.000000,80.000000
587,4160.000000,-40.000000
588,4080.000000,-200.000000
589,3920.000000,-320.000000
590,3760.000000,-480.000000
591,3520.000000,-600.000000
592,3360.000000,-720.000000
593,3120.000000,-840.000000
594,2880.000000,-1000.000000
595,2640.000000,-1120.000000
596,2400.000000,-1240.000000
597,2080.000000,-1360.000000
598,1840.000000,-1440.000000
599,1520.000000,-1560.000000
600,1200.000000,-1640.000000
601,880.000000,-1720.000000
602,640.000000,-1800.000000
603,320.000000,-1880.000000
604,0.000000,-1960.000000
605,-320.000000,-2000.000000
606,-640.000000,-2040.000000
607,-960.000000,-2080.000000
608,-1280.000000,-2120.000000
609,-1520.000000,-2160.000000
610,-1840.000000,-2160.000000
611,-2160.000000,-2160.000000
612,-2400.000000,-2160.000000
613,-2720.000000,-2160.000000
614,-2960.000000,-2120.000000
615,-3120.000000,-2080.000000
616,-3360.000000,-2080.000000
617,-3600.000000,-2040.000000
618,-3760.000000,-1960.000000
619,-4000.000000,-1880.000000
620,-4160.000000,-1840.000000
621,-4240.000000,-1760.000000
622,-4400.000000,-1680.000000
623,-4560.000000,-1560.000000
624,-4640.000000,-1480.000000
625,-4720.000000,-1360.000000
